id,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70,y71,y72,y73,y74,y75,y76,y77,y78,y79,y80,y81,y82,y83,y84,y85,y86,y87,y88,y89,y90,y91,y92,y93,y94,y95,y96,y97,y98,y99,y100,y101,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101
1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
2,0.56,0.5592,0.5584,0.5576,0.5568,0.556,0.5552,0.5544,0.5536,0.5528,0.552,0.5512,0.5504,0.5496,0.5488,0.548,0.5472,0.5464,0.5456,0.5448,0.544,0.5432,0.5424,0.5416,0.5408,0.54,0.5392,0.5384,0.5376,0.5368,0.536,0.5352,0.5344,0.5336,0.5328,0.532,0.5312,0.5304,0.5296,0.5288,0.528,0.5272,0.5264,0.5256,0.5248,0.524,0.5232,0.5224,0.5216,0.5208,0.52,0.5192,0.5184,0.5176,0.5168,0.516,0.5152,0.5144,0.5136,0.5128,0.512,0.5112,0.5104,0.5096,0.5088,0.508,0.5072,0.5064,0.5056,0.5048,0.504,0.5032,0.5024,0.5016,0.5008,0.5,0.4992,0.4984,0.4976,0.4968,0.496,0.4952,0.4944,0.4936,0.4928,0.492,0.4912,0.4904,0.4896,0.4888,0.488,0.4872,0.4864,0.4856,0.4848,0.484,0.4832,0.4824,0.4816,0.4808,0.48,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872
3,0.8624,0.857857536,0.853324544,0.848801024,0.844286976,0.8397824,0.835287296,0.830801664,0.826325504,0.821858816,0.8174016,0.812953856,0.808515584,0.804086784,0.799667456,0.7952576,0.790857216,0.786466304,0.782084864,0.777712896,0.7733504,0.768997376,0.764653824,0.760319744,0.755995136,0.75168,0.747374336,0.743078144,0.738791424,0.734514176,0.7302464,0.725988096,0.721739264,0.717499904,0.713270016,0.7090496,0.704838656,0.700637184,0.696445184,0.692262656,0.6880896,0.683926016,0.679771904,0.675627264,0.671492096,0.6673664,0.663250176,0.659143424,0.655046144,0.650958336,0.64688,0.642811136,0.638751744,0.634701824,0.630661376,0.6266304,0.622608896,0.618596864,0.614594304,0.610601216,0.6066176,0.602643456,0.598678784,0.594723584,0.590777856,0.5868416,0.582914816,0.578997504,0.575089664,0.571191296,0.5673024,0.563422976,0.559553024,0.555692544,0.551841536,0.548,0.544167936,0.540345344,0.536532224,0.532728576,0.5289344,0.525149696,0.521374464,0.517608704,0.513852416,0.5101056,0.506368256,0.502640384,0.498921984,0.495213056,0.4915136,0.487823616,0.484143104,0.480472064,0.476810496,0.4731584,0.469515776,0.465882624,0.462258944,0.458644736,0.45504,0.1799808,0.1803296,0.1806784,0.1810272,0.181376,0.1817248,0.1820736,0.1824224,0.1827712,0.18312,0.1834688,0.1838176,0.1841664,0.1845152,0.184864,0.1852128,0.1855616,0.1859104,0.1862592,0.186608,0.1869568,0.1873056,0.1876544,0.1880032,0.188352,0.1887008,0.1890496,0.1893984,0.1897472,0.190096,0.1904448,0.1907936,0.1911424,0.1914912,0.19184,0.1921888,0.1925376,0.1928864,0.1932352,0.193584,0.1939328,0.1942816,0.1946304,0.1949792,0.195328,0.1956768,0.1960256,0.1963744,0.1967232,0.197072,0.1974208,0.1977696,0.1981184,0.1984672,0.198816,0.1991648,0.1995136,0.1998624,0.2002112,0.20056,0.2009088,0.2012576,0.2016064,0.2019552,0.202304,0.2026528,0.2030016,0.2033504,0.2036992,0.204048,0.2043968,0.2047456,0.2050944,0.2054432,0.205792,0.2061408,0.2064896,0.2068384,0.2071872,0.207536,0.2078848,0.2082336,0.2085824,0.2089312,0.20928,0.2096288,0.2099776,0.2103264,0.2106752,0.211024,0.2113728,0.2117216,0.2120704,0.2124192,0.212768,0.2131168,0.2134656,0.2138144,0.2141632,0.214512,0.2148608
4,0.41533184,0.425235973,0.434982637,0.444572778,0.454007338,0.463287258,0.472413476,0.481386928,0.490208549,0.498879268,0.507400016,0.515771719,0.523995302,0.532071687,0.540001794,0.547786541,0.555426843,0.562923613,0.570277763,0.577490201,0.584561833,0.591493563,0.598286293,0.604940923,0.611458349,0.617839467,0.62408517,0.630196347,0.636173886,0.642018674,0.647731595,0.653313528,0.658765354,0.664087948,0.669282186,0.674348939,0.679289078,0.684103469,0.688792979,0.693358469,0.697800801,0.702120834,0.706319422,0.710397421,0.714355682,0.718195054,0.721916384,0.725520517,0.729008295,0.732380559,0.735638146,0.738781892,0.741812631,0.744731193,0.747538408,0.750235101,0.752822098,0.755300219,0.757670285,0.759933112,0.762089517,0.764140312,0.766086307,0.767928311,0.76966713,0.771303567,0.772838424,0.7742725,0.775606591,0.776841493,0.777977998,0.779016895,0.779958973,0.780805016,0.781555809,0.782212131,0.782774762,0.783244478,0.783622053,0.783908258,0.784103864,0.784209637,0.784226343,0.784154743,0.783995599,0.783749668,0.783417706,0.783000467,0.782498702,0.781913161,0.781244588,0.78049373,0.779661328,0.778748122,0.777754849,0.776682246,0.775531044,0.774301975,0.772995767,0.771613146,0.770154836,0.483225583,0.484332621,0.485439463,0.486546105,0.48765254,0.488758765,0.489864773,0.490970562,0.492076124,0.493181456,0.494286552,0.495391408,0.496496019,0.497600379,0.498704483,0.499808328,0.500911907,0.502015215,0.503118249,0.504221002,0.505323471,0.506425649,0.507527532,0.508629115,0.509730394,0.510831362,0.511932016,0.513032349,0.514132358,0.515232038,0.516331382,0.517430387,0.518529048,0.519627358,0.520725315,0.521822912,0.522920144,0.524017007,0.525113496,0.526209606,0.527305331,0.528400667,0.529495609,0.530590152,0.531684291,0.532778021,0.533871337,0.534964234,0.536056707,0.537148751,0.538240362,0.539331534,0.540422262,0.541512541,0.542602367,0.543691734,0.544780638,0.545869073,0.546957035,0.548044518,0.549131518,0.55021803,0.551304049,0.552389569,0.553474586,0.554559095,0.555643091,0.556726569,0.557809524,0.558891951,0.559973845,0.561055202,0.562136015,0.563216281,0.564295994,0.565375149,0.566453742,0.567531767,0.568609219,0.569686094,0.570762387,0.571838092,0.572913205,0.57398772,0.575061633,0.576134939,0.577207633,0.57827971,0.579351164,0.580421991,0.581492187,0.582561745,0.583630662,0.584698931,0.585766549,0.58683351,0.58789981,0.588965442,0.590030403,0.591094687,0.59215829
5,0.849909559,0.853376634,0.855981444,0.857758226,0.858740449,0.858960826,0.85845132,0.857243161,0.855366852,0.852852184,0.849728239,0.846023408,0.841765399,0.836981245,0.831697313,0.825939322,0.819732341,0.813100809,0.806068539,0.79865873,0.790893975,0.78279627,0.774387028,0.765687079,0.75671669,0.747495566,0.738042861,0.728377189,0.718516632,0.708478745,0.698280571,0.687938643,0.677468998,0.66688718,0.656208255,0.645446811,0.634616973,0.623732409,0.612806333,0.601851523,0.590880318,0.579904632,0.568935962,0.557985391,0.5470636,0.536180872,0.525347101,0.5145718,0.503864106,0.493232787,0.482686253,0.472232558,0.461879409,0.451634172,0.441503879,0.431495237,0.421614629,0.411868127,0.402261492,0.392800186,0.383489373,0.37433393,0.36533845,0.356507249,0.347844371,0.339353595,0.331038442,0.322902177,0.314947818,0.307178141,0.299595683,0.292202752,0.285001427,0.277993569,0.271180822,0.26456462,0.258146192,0.251926565,0.245906574,0.240086862,0.234467886,0.229049924,0.223833077,0.218817277,0.214002286,0.209387709,0.204972989,0.200757418,0.196740141,0.192920156,0.189296324,0.185867367,0.182631879,0.179588325,0.176735045,0.174070262,0.171592082,0.169298501,0.167187406,0.16525658,0.163503705,0.848581267,0.8460894,0.843615496,0.841159596,0.838721737,0.836301958,0.833900293,0.831516778,0.829151445,0.826804326,0.824475452,0.822164852,0.819872553,0.817598582,0.815342964,0.813105723,0.810886881,0.808686458,0.806504476,0.804340952,0.802195903,0.800069346,0.797961295,0.795871763,0.793800761,0.791748302,0.789714393,0.787699044,0.78570226,0.783724048,0.781764412,0.779823354,0.777900877,0.775996981,0.774111664,0.772244926,0.770396763,0.76856717,0.766756142,0.764963672,0.763189751,0.761434369,0.759697518,0.757979184,0.756279354,0.754598015,0.752935151,0.751290745,0.74966478,0.748057236,0.746468093,0.74489733,0.743344925,0.741810853,0.740295091,0.738797611,0.737318388,0.735857392,0.734414594,0.732989964,0.73158347,0.730195079,0.728824758,0.727472471,0.726138183,0.724821855,0.723523451,0.72224293,0.720980252,0.719735376,0.718508258,0.717298856,0.716107125,0.714933018,0.71377649,0.712637491,0.711515974,0.710411889,0.709325183,0.708255806,0.707203705,0.706168825,0.705151112,0.704150509,0.70316696,0.702200406,0.701250789,0.700318049,0.699402125,0.698502956,0.697620477,0.696754626,0.695905339,0.695072548,0.694256189,0.693456193,0.692672493,0.691905018,0.691153699,0.690418465,0.689699243
6,0.446471551,0.430717011,0.417027856,0.405386334,0.395758744,0.388097409,0.382342511,0.378423789,0.376262108,0.375770909,0.376857549,0.379424525,0.383370599,0.388591834,0.394982525,0.402436057,0.410845674,0.420105178,0.430109553,0.440755525,0.451942053,0.46357077,0.475546364,0.487776909,0.500174145,0.512653721,0.525135389,0.537543164,0.549805446,0.561855114,0.573629583,0.58507084,0.596125449,0.606744537,0.616883756,0.626503229,0.635567476,0.644045325,0.651909811,0.659138061,0.665711167,0.671614054,0.676835336,0.681367166,0.685205083,0.688347846,0.690797278,0.692558095,0.693637737,0.694046203,0.693795876,0.692901358,0.6913793,0.689248234,0.68652841,0.683241633,0.679411105,0.675061268,0.670217652,0.664906729,0.659155767,0.652992692,0.646445956,0.639544404,0.632317155,0.624793478,0.617002682,0.608974008,0.600736528,0.592319045,0.583750003,0.575057406,0.56626873,0.557410856,0.548509997,0.539591636,0.530680468,0.521800346,0.512974232,0.50422416,0.495571191,0.487035385,0.47863577,0.47039032,0.462315934,0.454428423,0.446742495,0.439271752,0.432028686,0.425024677,0.418269997,0.411773819,0.405544226,0.399588224,0.393911756,0.388519724,0.383416007,0.378603487,0.37408407,0.369858717,0.365927471,0.127657517,0.133827622,0.14026828,0.146962714,0.153894681,0.161048464,0.168408855,0.175961144,0.183691109,0.191585005,0.19962955,0.207811915,0.216119715,0.224540994,0.23306422,0.241678269,0.25037242,0.259136341,0.267960081,0.276834061,0.285749063,0.294696222,0.303667016,0.312653258,0.321647086,0.330640956,0.339627632,0.348600181,0.357551959,0.36647661,0.375368052,0.384220474,0.393028326,0.401786314,0.41048939,0.419132748,0.427711812,0.436222239,0.4446599,0.453020885,0.461301489,0.469498209,0.477607738,0.485626959,0.493552938,0.501382921,0.509114326,0.516744738,0.524271905,0.531693732,0.539008277,0.546213745,0.553308483,0.560290977,0.567159846,0.573913838,0.580551825,0.587072802,0.593475878,0.599760275,0.605925324,0.61197046,0.617895221,0.62369924,0.629382246,0.634944056,0.640384576,0.645703797,0.650901788,0.655978698,0.66093475,0.665770237,0.670485524,0.67508104,0.679557279,0.683914796,0.688154202,0.692276167,0.696281414,0.700170716,0.703944895,0.707604821,0.711151409,0.714585616,0.71790844,0.721120917,0.72422412,0.727219159,0.730107175,0.732889341,0.735566863,0.73814097,0.740612923,0.742984006,0.745255526,0.747428814,0.749505223,0.751486122,0.753372904,0.755166975,0.756869758
7,0.864971468,0.857623118,0.849734766,0.84188159,0.834531955,0.828047211,0.822685112,0.818606136,0.815881989,0.814505679,0.814402589,0.815442059,0.817449067,0.820215649,0.823511774,0.827095462,0.830721963,0.834151893,0.837158245,0.839532256,0.841088114,0.841666553,0.841137365,0.839400927,0.8363888,0.832063513,0.826417616,0.819472124,0.811274437,0.801895848,0.79142873,0.779983512,0.767685503,0.754671669,0.741087416,0.727083459,0.71281281,0.698427954,0.684078235,0.669907482,0.656051911,0.642638304,0.629782471,0.617588015,0.606145379,0.595531177,0.585807792,0.577023228,0.569211201,0.562391442,0.556570195,0.551740885,0.547884935,0.5449727,0.542964505,0.541811758,0.541458113,0.541840671,0.542891183,0.544537259,0.546703544,0.549312862,0.5522873,0.555549241,0.559022315,0.56263227,0.566307763,0.569981053,0.573588605,0.577071592,0.580376316,0.583454516,0.586263604,0.588766802,0.590933199,0.59273773,0.594161085,0.595189551,0.595814792,0.596033585,0.595847502,0.595262561,0.594288842,0.592940084,0.59123326,0.589188145,0.58682688,0.584173534,0.581253677,0.578093964,0.574721729,0.571164608,0.567450182,0.56360564,0.559657478,0.555631223,0.551551196,0.547440295,0.543319819,0.539209325,0.535126513,0.394674361,0.411666684,0.429005851,0.446597425,0.464349629,0.482173809,0.499984855,0.517701573,0.535247003,0.552548689,0.569538901,0.586154799,0.602338566,0.618037479,0.633203952,0.647795532,0.661774858,0.675109592,0.687772314,0.699740391,0.710995828,0.721525086,0.731318893,0.740372033,0.748683126,0.756254395,0.76309143,0.769202938,0.774600504,0.779298338,0.783313025,0.786663287,0.789369738,0.791454648,0.792941714,0.793855843,0.79422293,0.794069662,0.793423323,0.792311605,0.79076244,0.788803837,0.786463732,0.783769847,0.780749564,0.777429806,0.773836935,0.769996657,0.765933935,0.76167292,0.757236887,0.752648178,0.747928165,0.743097209,0.738174636,0.733178715,0.728126654,0.723034588,0.717917584,0.712789652,0.707663752,0.702551822,0.697464791,0.692412613,0.687404296,0.682447935,0.677550748,0.672719118,0.667958631,0.663274116,0.658669693,0.654148816,0.649714315,0.645368442,0.641112916,0.63694897,0.632877388,0.628898555,0.625012493,0.621218906,0.617517219,0.613906612,0.610386062,0.606954372,0.60361021,0.600352133,0.597178622,0.594088108,0.591078993,0.58814968,0.585298587,0.582524174,0.579824953,0.577199507,0.574646506,0.572164713,0.569752997,0.567410342,0.565135851,0.562928753,0.560788405
8,0.408785396,0.423839421,0.439608753,0.454629961,0.467808714,0.478384462,0.485880309,0.490049898,0.490829121,0.488296758,0.482645147,0.474159797,0.463205583,0.450216663,0.435687335,0.420161644,0.404220295,0.388464324,0.373495745,0.359896086,0.348204116,0.338894342,0.332357822,0.328886674,0.328663369,0.33175546,0.338116019,0.347589568,0.359922981,0.374780471,0.391761604,0.410421154,0.430289585,0.450893023,0.4717717,0.492496052,0.512679858,0.531990048,0.550153035,0.566957633,0.582254819,0.59595472,0.608021336,0.618465555,0.627337049,0.63471562,0.640702515,0.645412179,0.64896481,0.651479996,0.653071605,0.653844029,0.653889757,0.65328822,0.652105762,0.650396552,0.64820424,0.645564113,0.642505559,0.639054606,0.635236357,0.631077187,0.626606548,0.621858326,0.616871704,0.611691496,0.606367998,0.600956391,0.595515758,0.590107805,0.584795365,0.579640786,0.574704291,0.570042387,0.565706405,0.561741232,0.558184267,0.55506466,0.552402823,0.550210235,0.548489524,0.547234802,0.546432237,0.546060805,0.5460932,0.546496856,0.547235023,0.548267878,0.549553622,0.551049521,0.552712887,0.55450195,0.556376622,0.558299134,0.560234548,0.562151134,0.56402063,0.565818378,0.567523358,0.569118132,0.570588704,0.737153706,0.743822024,0.748576764,0.751171952,0.751413092,0.749161124,0.744334951,0.736912444,0.726929871,0.714479791,0.699707519,0.682806294,0.664011359,0.643593178,0.621850032,0.599100254,0.575674347,0.551907225,0.52813079,0.504667035,0.48182182,0.459879452,0.439098142,0.4197064,0.40190038,0.385842158,0.371658919,0.359442974,0.349252545,0.341113216,0.335019958,0.330939611,0.328813736,0.328561716,0.330084014,0.333265501,0.337978758,0.344087303,0.351448651,0.359917182,0.369346769,0.379593126,0.390515878,0.401980329,0.413858924,0.426032427,0.438390812,0.450833882,0.463271653,0.475624509,0.487823159,0.499808427,0.511530887,0.522950392,0.53403549,0.544762785,0.55511623,0.565086403,0.574669757,0.583867882,0.59268677,0.60113611,0.609228621,0.616979418,0.624405423,0.631524839,0.638356657,0.644920227,0.651234885,0.657319615,0.663192783,0.668871901,0.674373443,0.679712705,0.684903697,0.689959079,0.694890121,0.699706694,0.704417287,0.709029046,0.713547826,0.717978267,0.722323873,0.726587109,0.730769497,0.734871728,0.738893765,0.742834951,0.746694125,0.750469719,0.754159866,0.757762495,0.761275425,0.764696448,0.76802341,0.771254276,0.7743872,0.777420572,0.780353065,0.783183677,0.785911753
9,0.845879636,0.851545871,0.855653523,0.8575503,0.85731232,0.855445338,0.852602758,0.849374813,0.846161764,0.843121585,0.840174788,0.837049471,0.833352746,0.828657339,0.822593078,0.814932587,0.805659988,0.79501191,0.783482529,0.771788866,0.760798565,0.75142877,0.744530056,0.74077256,0.740551572,0.743926901,0.750604921,0.759965281,0.771127376,0.783045898,0.794621187,0.804809075,0.812716363,0.817671526,0.81926481,0.817356738,0.81205831,0.803689351,0.79272315,0.779725824,0.765297932,0.750024092,0.734434235,0.718977969,0.70401169,0.689796709,0.676505884,0.664235915,0.653022639,0.64285701,0.633700066,0.625495706,0.6181807,0.611691741,0.605969716,0.600961559,0.596620193,0.592903095,0.589770041,0.587180517,0.585091236,0.583454094,0.582214819,0.581312433,0.580679572,0.580243591,0.5799283,0.57965614,0.579350557,0.578938332,0.578351665,0.57752985,0.576420417,0.574979736,0.573173077,0.570974224,0.568364752,0.565333099,0.561873568,0.557985383,0.553671875,0.548939874,0.543799305,0.538262993,0.532346626,0.526068823,0.519451234,0.512518629,0.505298889,0.497822891,0.490124241,0.48223887,0.474204486,0.466059929,0.457844445,0.449596935,0.441355214,0.433155312,0.425030866,0.417012602,0.409127953,0.585612019,0.566462571,0.550656003,0.539515435,0.534048741,0.534897671,0.542312792,0.556153542,0.575911594,0.60075491,0.629589026,0.661131417,0.693994157,0.72676961,0.758113673,0.786821257,0.811889267,0.832563299,0.848365601,0.859103386,0.864858134,0.865958026,0.862936811,0.856483243,0.847385599,0.83647573,0.824576637,0.812456831,0.80079377,0.790147676,0.780946047,0.773478314,0.767899436,0.764240783,0.762426372,0.762292534,0.763609195,0.766101167,0.769468216,0.773402959,0.777606018,0.781798144,0.78572927,0.789184654,0.791988399,0.794004715,0.795137322,0.795327394,0.794550408,0.792812248,0.790144826,0.786601483,0.782252343,0.777179797,0.771474214,0.765229995,0.758542017,0.751502537,0.744198567,0.736709748,0.729106726,0.721450009,0.71378929,0.706163206,0.698599485,0.691115436,0.683718731,0.676408419,0.669176119,0.662007329,0.654882806,0.64777995,0.640674173,0.63354018,0.626353163,0.619089852,0.611729429,0.60425427,0.596650527,0.588908541,0.581023084,0.572993457,0.564823437,0.556521102,0.548098542,0.539571486,0.53095885,0.522282237,0.513565402,0.504833706,0.496113559,0.487431895,0.478815654,0.470291321,0.461884493,0.453619514,0.445519146,0.437604317,0.429893907,0.422404603,0.415150799
10,0.45628547,0.437630564,0.422863587,0.413672391,0.409833808,0.409926356,0.412106889,0.414713542,0.416616965,0.417350675,0.417087415,0.416517821,0.416664782,0.41865365,0.423461302,0.431680188,0.44334483,0.45786529,0.474089462,0.490479023,0.505347814,0.517094295,0.524371555,0.526174374,0.521864437,0.511179634,0.494267974,0.471754658,0.444810891,0.41516822,0.385027364,0.356844264,0.333022648,0.31558049,0.305871041,0.304423726,0.310934371,0.324393003,0.343305449,0.36595064,0.390619414,0.415797186,0.440274144,0.463185529,0.483996907,0.502454404,0.51851892,0.532299016,0.543991738,0.553835755,0.562077609,0.568949813,0.574658511,0.579378277,0.583251862,0.586393077,0.588891452,0.590817689,0.592229197,0.5931753,0.593701812,0.593854843,0.593683737,0.593243095,0.592593855,0.591803435,0.590944959,0.590095671,0.589334673,0.58874021,0.588386765,0.588342226,0.588665394,0.589404018,0.590593463,0.592256047,0.594400974,0.597024749,0.60011193,0.603636071,0.607560742,0.611840556,0.616422187,0.621245389,0.626244071,0.631347482,0.636481555,0.641570437,0.646538182,0.651310591,0.655817089,0.659992566,0.663779061,0.667127187,0.669997208,0.672359713,0.674195852,0.675497142,0.676264885,0.676509259,0.676248152,0.674469571,0.69202993,0.70466371,0.712735604,0.716671314,0.716584321,0.712007893,0.701826358,0.684445049,0.658169387,0.621702987,0.574639482,0.517820847,0.453465581,0.385024331,0.316784413,0.253301976,0.19877741,0.156497536,0.128446867,0.115147046,0.115731061,0.128210915,0.149865209,0.177661965,0.208641118,0.240204384,0.270289277,0.297430812,0.320733491,0.339785272,0.354545343,0.365231371,0.372222908,0.37598857,0.377037512,0.375891136,0.373068967,0.369082512,0.364431994,0.359602477,0.355057541,0.351230143,0.348511307,0.347237999,0.347681745,0.350039513,0.354428066,0.360882515,0.369359296,0.379743308,0.391858517,0.405481085,0.420353937,0.436201648,0.452744684,0.469712153,0.48685251,0.503941818,0.520789476,0.537241433,0.553181115,0.568528379,0.583236858,0.597290104,0.61069693,0.623486305,0.635702118,0.647398096,0.658633066,0.669466722,0.679955999,0.690152116,0.700098294,0.709828153,0.719364733,0.728720109,0.73789551,0.746881887,0.755660852,0.764205917,0.772483952,0.780456807,0.78808303,0.79531961,0.802123702,0.808454273,0.814273619,0.81954871,0.824252327,0.828363962,0.831870459,0.834766384,0.837054129,0.838743766,0.83985266,0.84040488,0.840430442,0.839964426,0.839046005,0.837717432
