"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
0.175809374201436,0.115203869347862,0.281383055310866,0.585456918501275,0.143261789249632,0.281608750230054,0.136616854927836,0.162973218711709,0.459220702948403,0.252870258227861,0.73338783091814,0.674478405361659,0.208022093659888,0.376888565379517,0.043839822253386,0,0.0143205004920566,0.281358037312502,-0.129140641022842,0.408531966967916,0.264062656691947,-0.103570735074563,0.0158943965323666,-0.161596704356478,-0.299499154363308,-0.356740540979647,0.175436956993468,0.255229266545519
0.175809374201436,0.115203869347862,0.319522513337008,0.618719279299425,0.367996726578009,0.220723072377157,0.136616854927836,0.162973218711709,0.450568094464832,0.379133898226526,0.695249784096515,0.645405764132132,0.208022093659888,0.343626204581367,0.139492027247833,0,0.0240377723515015,0.232974346674333,-0.0352955519003757,0.404095138845253,0.28356708568516,-0.213466972852924,-0.0100493072449988,-0.104773318796068,-0.346003242643058,-0.0990692650220292,0,0.256090467730317
0.175809374201436,0.115203869347862,0.300802171740379,0.589601664529263,0.399016640684448,0.220723072377157,0.134168295584475,0.162973218711709,0.331431444953192,0.469058733135296,0.727566993341631,0.633445989153109,0.208022093659888,0.343626204581367,0.246035450909615,0,0.041616613833404,0.308720105440739,-0.203031327807025,0.357688580000956,0,0.0888912913283051,-0.020818348053263,-0.131824074178173,-0.366654569202557,-0.0568938170274431,-0.0347350256511811,0.212168170861255
0.175809374201436,0.115203869347862,0.298557162366267,0.505855909451366,0.355077872013092,0.153330038343258,0.0850085616948303,0.22623677074145,0.304877823225744,0.261824836225084,0.792156438291229,0.578199355043615,0.115203869347862,0.276233170547468,0.217804612930359,0,0.0723398708777604,0.340461800908007,-0.174595386291042,0.326996081890118,0,0.233764001190975,-0.086201225278542,-0.182479197968648,-0.385019063924207,-0.0472413927650006,-0.0417698640048296,0.17969646560122
0.154956877388508,0,0.375566425487511,0.56798661316706,0.501592116573896,0.167366741373731,0.139217217515785,0.180578486908388,0.2697883283277,0.37692442884524,0.510547688061175,0.333827647758324,0.125996300385575,0.290269873577942,-0.115412050531881,0,0.365305026038393,0.331521665504764,-0.268736562378053,0.331599438434011,0,0.145724064183741,-0.0204477307916017,-0.151493741336238,-0.365892481629896,0.0646349352325149,0,0.126607537416145
0.0552466341094937,0,0.303942383431629,0.52743748906665,0.545374038251201,0.123584819696426,0.139217217515785,0.180578486908388,0.2697883283277,0.294054477681,0.567893551244924,0.333491879932136,0.125996300385575,0.246487951900637,-0.0939629532026417,0,0.369741288831679,0.275773164127678,-0.319263821277285,0.317762568086678,0,0.197007663487637,0.140217000590198,0.051540852221488,-0.390558953873617,0.0788026355596511,-0.0330333935903534,0.115866288794117
0,0.116680207816268,0.493488765449947,0.486156948158721,0.505246941485894,0.105799376028618,0.139217217515785,0.160150442813386,0.325034962437193,0.291482487082715,0.608020195372546,0.344006491453446,0.125996300385575,0.209026761458951,-0.369418002994337,0,0.349388606715429,0.262715763196302,-0.262153393734162,0.287666021845674,0,0.276986180136953,0.169938036140515,0.0811706601271051,-0.32445214832807,-0.0239749018545611,-0.0405754102207941,0.193423376183375
0,0.116680207816268,0.508611022875398,0.501773852215089,0.596327080589656,0.105799376028618,0.134523325325415,0.175767346869754,0.413856243438694,0.29965765795868,0.653180650654808,0.377702339706826,0.128205291289936,0.234078087915414,-0.473886180172641,0,0.499897491916834,0.356530948393949,-0.258081546904772,0.284928388306223,-0.0697123313229829,-0.125810205713478,0.114756922861254,0.107194860519095,-0.202795183765082,-0.090983242699271,0,0.147347700506704
0,0,0.409781650196529,0.346859002158262,0.660961499079888,0.0922577355449791,0.132896486280165,0.0208524968129274,0.474349654994238,0.301284497003931,0.542136351370117,0.422731696589698,0.109591371500532,0.289369695565542,-0.559719636735124,0,0.253601881136157,0.388089025294287,-0.302244135667079,0.312022594948351,-0.0506185817521896,-0.189712384196066,0.128537719358992,0.0893457515348274,-0.0527007869376406,-0.109711567983313,0,0.124478564429135
0,0,0.553002556032207,0.297085667360396,0.836716789665777,0.0922577355449791,0.13564599174892,0.147955976103486,0.514067172668204,0.301284497003931,0.549881591986796,0.394559687867314,0.109591371500532,0.261064691018579,-0.572570563110561,0,0.215527389504833,0.422108602670259,-0.296219832029881,0.253455997491715,-0.0639543227260099,-0.249854425636649,0.108484344572042,0.162480197505255,-0.0994774013824489,-0.133515669371382,-0.0442273846897635,0.134426840162076
