"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
0.0547261578231667,0,0.0178765772704404,0.351225063500142,-0.161208936047982,0.50997891302737,0.329634881770353,-0.129289493027407,0.0198413042851037,-0.201724511910703,-0.373870995526799,-0.445326603623858,0.219001585840122,0.318607977955074
0.174130785798265,0,0.0300068489288645,0.290826700691378,-0.0440601682322411,0.504440328617249,0.353982664322115,-0.266475242049606,-0.0125447583050094,-0.130790703186479,-0.43192301179435,-0.123670214757815,0,0.319683033225243
0.307131147538666,0,0.051950880720935,0.385381699676706,-0.253448210268603,0.446510060363323,0,0.110964839460821,-0.0259879749191386,-0.16455872121631,-0.45770249032464,-0.0710217297828059,-0.0433604517096659,0.264853920631689
0.27189000796918,0,0.0903033586149645,0.42500551534084,-0.217951035707549,0.408195979482869,0,0.291812442774313,-0.107606774313039,-0.227792561059159,-0.480627269322851,-0.0589724087223905,-0.0521421860829731,0.224318818628378
-0.144071252287416,0,0.4560178276505,0.413845359211317,-0.335469415011615,0.413942444769186,0,0.18191036653979,-0.02552532571777,-0.189112773990516,-0.456751160628652,0.080685127918181,0,0.158046810367788
-0.117295899987401,0,0.461555706348255,0.344253350668631,-0.398543638463281,0.396669593021974,0,0.245928745378639,0.175035785032125,0.0643395129823049,-0.487542828650215,0.0983709615790213,-0.0412362691758139,0.144638287315176
-0.461152141943862,0,0.436149031859911,0.327953526732287,-0.327251509288828,0.359099451199828,0,0.345767583668526,0.212137169084132,0.101327015676563,-0.405020334545177,-0.0299283663857991,-0.0506511246931757,0.241454405323998
-0.591561930530924,0,0.624032389545852,0.445064964859514,-0.322168538584043,0.355682006569781,-0.0870233465854847,-0.157051484694582,0.143253442851742,0.133813563857395,-0.253153426771679,-0.113576265671087,0,0.183937185379163
-0.698709611541048,0,0.316576479053525,0.484459565664724,-0.377297612523181,0.389504265707159,-0.063188223659854,-0.236821897190089,0.160456296451494,0.111532151546229,-0.0657874835049462,-0.13695522189345,0,0.155389169307682
-0.714751689014156,0,0.269047302817146,0.526926908479078,-0.369777349559558,0.316394369479644,-0.0798355052342173,-0.311898452762359,0.135423253499479,0.202827394701062,-0.124179699826998,-0.1666703745205,-0.0552099600369836,0.16780780788433
