id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101
1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
2,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872
3,0.1799808,0.1803296,0.1806784,0.1810272,0.181376,0.1817248,0.1820736,0.1824224,0.1827712,0.18312,0.1834688,0.1838176,0.1841664,0.1845152,0.184864,0.1852128,0.1855616,0.1859104,0.1862592,0.186608,0.1869568,0.1873056,0.1876544,0.1880032,0.188352,0.1887008,0.1890496,0.1893984,0.1897472,0.190096,0.1904448,0.1907936,0.1911424,0.1914912,0.19184,0.1921888,0.1925376,0.1928864,0.1932352,0.193584,0.1939328,0.1942816,0.1946304,0.1949792,0.195328,0.1956768,0.1960256,0.1963744,0.1967232,0.197072,0.1974208,0.1977696,0.1981184,0.1984672,0.198816,0.1991648,0.1995136,0.1998624,0.2002112,0.20056,0.2009088,0.2012576,0.2016064,0.2019552,0.202304,0.2026528,0.2030016,0.2033504,0.2036992,0.204048,0.2043968,0.2047456,0.2050944,0.2054432,0.205792,0.2061408,0.2064896,0.2068384,0.2071872,0.207536,0.2078848,0.2082336,0.2085824,0.2089312,0.20928,0.2096288,0.2099776,0.2103264,0.2106752,0.211024,0.2113728,0.2117216,0.2120704,0.2124192,0.212768,0.2131168,0.2134656,0.2138144,0.2141632,0.214512,0.2148608
4,0.483225583,0.484332621,0.485439463,0.486546105,0.48765254,0.488758765,0.489864773,0.490970562,0.492076124,0.493181456,0.494286552,0.495391408,0.496496019,0.497600379,0.498704483,0.499808328,0.500911907,0.502015215,0.503118249,0.504221002,0.505323471,0.506425649,0.507527532,0.508629115,0.509730394,0.510831362,0.511932016,0.513032349,0.514132358,0.515232038,0.516331382,0.517430387,0.518529048,0.519627358,0.520725315,0.521822912,0.522920144,0.524017007,0.525113496,0.526209606,0.527305331,0.528400667,0.529495609,0.530590152,0.531684291,0.532778021,0.533871337,0.534964234,0.536056707,0.537148751,0.538240362,0.539331534,0.540422262,0.541512541,0.542602367,0.543691734,0.544780638,0.545869073,0.546957035,0.548044518,0.549131518,0.55021803,0.551304049,0.552389569,0.553474586,0.554559095,0.555643091,0.556726569,0.557809524,0.558891951,0.559973845,0.561055202,0.562136015,0.563216281,0.564295994,0.565375149,0.566453742,0.567531767,0.568609219,0.569686094,0.570762387,0.571838092,0.572913205,0.57398772,0.575061633,0.576134939,0.577207633,0.57827971,0.579351164,0.580421991,0.581492187,0.582561745,0.583630662,0.584698931,0.585766549,0.58683351,0.58789981,0.588965442,0.590030403,0.591094687,0.59215829
5,0.848581267,0.8460894,0.843615496,0.841159596,0.838721737,0.836301958,0.833900293,0.831516778,0.829151445,0.826804326,0.824475452,0.822164852,0.819872553,0.817598582,0.815342964,0.813105723,0.810886881,0.808686458,0.806504476,0.804340952,0.802195903,0.800069346,0.797961295,0.795871763,0.793800761,0.791748302,0.789714393,0.787699044,0.78570226,0.783724048,0.781764412,0.779823354,0.777900877,0.775996981,0.774111664,0.772244926,0.770396763,0.76856717,0.766756142,0.764963672,0.763189751,0.761434369,0.759697518,0.757979184,0.756279354,0.754598015,0.752935151,0.751290745,0.74966478,0.748057236,0.746468093,0.74489733,0.743344925,0.741810853,0.740295091,0.738797611,0.737318388,0.735857392,0.734414594,0.732989964,0.73158347,0.730195079,0.728824758,0.727472471,0.726138183,0.724821855,0.723523451,0.72224293,0.720980252,0.719735376,0.718508258,0.717298856,0.716107125,0.714933018,0.71377649,0.712637491,0.711515974,0.710411889,0.709325183,0.708255806,0.707203705,0.706168825,0.705151112,0.704150509,0.70316696,0.702200406,0.701250789,0.700318049,0.699402125,0.698502956,0.697620477,0.696754626,0.695905339,0.695072548,0.694256189,0.693456193,0.692672493,0.691905018,0.691153699,0.690418465,0.689699243
6,0.127657517,0.133827622,0.14026828,0.146962714,0.153894681,0.161048464,0.168408855,0.175961144,0.183691109,0.191585005,0.19962955,0.207811915,0.216119715,0.224540994,0.23306422,0.241678269,0.25037242,0.259136341,0.267960081,0.276834061,0.285749063,0.294696222,0.303667016,0.312653258,0.321647086,0.330640956,0.339627632,0.348600181,0.357551959,0.36647661,0.375368052,0.384220474,0.393028326,0.401786314,0.41048939,0.419132748,0.427711812,0.436222239,0.4446599,0.453020885,0.461301489,0.469498209,0.477607738,0.485626959,0.493552938,0.501382921,0.509114326,0.516744738,0.524271905,0.531693732,0.539008277,0.546213745,0.553308483,0.560290977,0.567159846,0.573913838,0.580551825,0.587072802,0.593475878,0.599760275,0.605925324,0.61197046,0.617895221,0.62369924,0.629382246,0.634944056,0.640384576,0.645703797,0.650901788,0.655978698,0.66093475,0.665770237,0.670485524,0.67508104,0.679557279,0.683914796,0.688154202,0.692276167,0.696281414,0.700170716,0.703944895,0.707604821,0.711151409,0.714585616,0.71790844,0.721120917,0.72422412,0.727219159,0.730107175,0.732889341,0.735566863,0.73814097,0.740612923,0.742984006,0.745255526,0.747428814,0.749505223,0.751486122,0.753372904,0.755166975,0.756869758
7,0.394674361,0.411666684,0.429005851,0.446597425,0.464349629,0.482173809,0.499984855,0.517701573,0.535247003,0.552548689,0.569538901,0.586154799,0.602338566,0.618037479,0.633203952,0.647795532,0.661774858,0.675109592,0.687772314,0.699740391,0.710995828,0.721525086,0.731318893,0.740372033,0.748683126,0.756254395,0.76309143,0.769202938,0.774600504,0.779298338,0.783313025,0.786663287,0.789369738,0.791454648,0.792941714,0.793855843,0.79422293,0.794069662,0.793423323,0.792311605,0.79076244,0.788803837,0.786463732,0.783769847,0.780749564,0.777429806,0.773836935,0.769996657,0.765933935,0.76167292,0.757236887,0.752648178,0.747928165,0.743097209,0.738174636,0.733178715,0.728126654,0.723034588,0.717917584,0.712789652,0.707663752,0.702551822,0.697464791,0.692412613,0.687404296,0.682447935,0.677550748,0.672719118,0.667958631,0.663274116,0.658669693,0.654148816,0.649714315,0.645368442,0.641112916,0.63694897,0.632877388,0.628898555,0.625012493,0.621218906,0.617517219,0.613906612,0.610386062,0.606954372,0.60361021,0.600352133,0.597178622,0.594088108,0.591078993,0.58814968,0.585298587,0.582524174,0.579824953,0.577199507,0.574646506,0.572164713,0.569752997,0.567410342,0.565135851,0.562928753,0.560788405
8,0.737153706,0.743822024,0.748576764,0.751171952,0.751413092,0.749161124,0.744334951,0.736912444,0.726929871,0.714479791,0.699707519,0.682806294,0.664011359,0.643593178,0.621850032,0.599100254,0.575674347,0.551907225,0.52813079,0.504667035,0.48182182,0.459879452,0.439098142,0.4197064,0.40190038,0.385842158,0.371658919,0.359442974,0.349252545,0.341113216,0.335019958,0.330939611,0.328813736,0.328561716,0.330084014,0.333265501,0.337978758,0.344087303,0.351448651,0.359917182,0.369346769,0.379593126,0.390515878,0.401980329,0.413858924,0.426032427,0.438390812,0.450833882,0.463271653,0.475624509,0.487823159,0.499808427,0.511530887,0.522950392,0.53403549,0.544762785,0.55511623,0.565086403,0.574669757,0.583867882,0.59268677,0.60113611,0.609228621,0.616979418,0.624405423,0.631524839,0.638356657,0.644920227,0.651234885,0.657319615,0.663192783,0.668871901,0.674373443,0.679712705,0.684903697,0.689959079,0.694890121,0.699706694,0.704417287,0.709029046,0.713547826,0.717978267,0.722323873,0.726587109,0.730769497,0.734871728,0.738893765,0.742834951,0.746694125,0.750469719,0.754159866,0.757762495,0.761275425,0.764696448,0.76802341,0.771254276,0.7743872,0.777420572,0.780353065,0.783183677,0.785911753
9,0.585612019,0.566462571,0.550656003,0.539515435,0.534048741,0.534897671,0.542312792,0.556153542,0.575911594,0.60075491,0.629589026,0.661131417,0.693994157,0.72676961,0.758113673,0.786821257,0.811889267,0.832563299,0.848365601,0.859103386,0.864858134,0.865958026,0.862936811,0.856483243,0.847385599,0.83647573,0.824576637,0.812456831,0.80079377,0.790147676,0.780946047,0.773478314,0.767899436,0.764240783,0.762426372,0.762292534,0.763609195,0.766101167,0.769468216,0.773402959,0.777606018,0.781798144,0.78572927,0.789184654,0.791988399,0.794004715,0.795137322,0.795327394,0.794550408,0.792812248,0.790144826,0.786601483,0.782252343,0.777179797,0.771474214,0.765229995,0.758542017,0.751502537,0.744198567,0.736709748,0.729106726,0.721450009,0.71378929,0.706163206,0.698599485,0.691115436,0.683718731,0.676408419,0.669176119,0.662007329,0.654882806,0.64777995,0.640674173,0.63354018,0.626353163,0.619089852,0.611729429,0.60425427,0.596650527,0.588908541,0.581023084,0.572993457,0.564823437,0.556521102,0.548098542,0.539571486,0.53095885,0.522282237,0.513565402,0.504833706,0.496113559,0.487431895,0.478815654,0.470291321,0.461884493,0.453619514,0.445519146,0.437604317,0.429893907,0.422404603,0.415150799
10,0.674469571,0.69202993,0.70466371,0.712735604,0.716671314,0.716584321,0.712007893,0.701826358,0.684445049,0.658169387,0.621702987,0.574639482,0.517820847,0.453465581,0.385024331,0.316784413,0.253301976,0.19877741,0.156497536,0.128446867,0.115147046,0.115731061,0.128210915,0.149865209,0.177661965,0.208641118,0.240204384,0.270289277,0.297430812,0.320733491,0.339785272,0.354545343,0.365231371,0.372222908,0.37598857,0.377037512,0.375891136,0.373068967,0.369082512,0.364431994,0.359602477,0.355057541,0.351230143,0.348511307,0.347237999,0.347681745,0.350039513,0.354428066,0.360882515,0.369359296,0.379743308,0.391858517,0.405481085,0.420353937,0.436201648,0.452744684,0.469712153,0.48685251,0.503941818,0.520789476,0.537241433,0.553181115,0.568528379,0.583236858,0.597290104,0.61069693,0.623486305,0.635702118,0.647398096,0.658633066,0.669466722,0.679955999,0.690152116,0.700098294,0.709828153,0.719364733,0.728720109,0.73789551,0.746881887,0.755660852,0.764205917,0.772483952,0.780456807,0.78808303,0.79531961,0.802123702,0.808454273,0.814273619,0.81954871,0.824252327,0.828363962,0.831870459,0.834766384,0.837054129,0.838743766,0.83985266,0.84040488,0.840430442,0.839964426,0.839046005,0.837717432
